"Horodateur","Tu es en...","Les raisons pour lesquelles tu prends part à un évènement entreprise...","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [1]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [2]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [3]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [4]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [5]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [6]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [7]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [8]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [9]","Un domaine n'apparaissant pas dans la question précédente ?","Y a-t-il un type de fonction qui t'intéresse particulièrement dans une entreprise ?
( par ex : R&D, recherche fondamentale, conseil, services et apps, etc... )","Les types d'évènements que tu préfères...","Qu'espères-tu obtenir d'un évènement entreprise","Qu'elles sont les principales choses que tu veux savoir sur une entreprise ?","Une entreprise particulière que tu aimerais rencontrer ?","Es-tu intéressé.e par la création d'un forum ""entreprises publiques"" ? ","Es-tu intéressé.e par la mise en place d'un forum sur le secteur ""énergie et environnement"" ? ","Es-tu intéressé.e par la mise en place d'un forum Start-up","Une dernière chose ? :)"
"2026/03/17 11:08:08 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Environnement","Énergie","Santé et Biotechnologies","Transports","Aéronautique","Mode et Luxe","Économie et Finance","Robotique et Automatisation","Numérique, Informatique et IA","","","les tables rondes;les forums","","","","oui","oui","oui",""
"2026/03/17 11:09:08 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Transports","Environnement","Santé et Biotechnologies","Aéronautique","Mode et Luxe","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","","","les tables rondes;les visites de site","Mieux connaître l’entreprise et la vie des employés qui y sont","Son domaine d’activité, leurs façons de procéder et la journée type d’un employé","","oui","oui","oui",""
"2026/03/17 11:10:13 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Environnement","Énergie","Économie et Finance","Transports","Numérique, Informatique et IA","Santé et Biotechnologies","Aéronautique","Robotique et Automatisation","Mode et Luxe","","","les amphis entreprises;les tables rondes;les forums;les études de cas","Des contacts et une meilleure connaissance du milieu ","Son domaine, le type de métiers qu'elle propose, le cadre de travail, ses engagements environnementaux et sociaux ","","oui","oui","non","Merci ❤️"
"2026/03/17 11:10:49 AM UTC+2","ISUP","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Transports","Économie et Finance","Robotique et Automatisation","Environnement","Aéronautique","Santé et Biotechnologies","Numérique, Informatique et IA","Mode et Luxe","Construction","Ingéniérie","les amphis entreprises;les visites de site;les études de cas;Présentation dans les bureau ( exemple Tour Total)","Idée de carrière, contact","Période de recrutement, autonomie laissé au salarié, profil qui les intérrèsent ","EDF","non","oui","non","Dream : Des entreprises énergétiques et des métiers terrains / ingéniérie ( stop la data/IA par pitié:) )"
"2026/03/17 11:11:46 AM UTC+2","3A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Énergie","Environnement","Transports","Économie et Finance","Numérique, Informatique et IA","Aéronautique","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","","","les amphis entreprises;les tables rondes;les visites de site;les forums","","","","oui","oui","oui",""
"2026/03/17 11:13:09 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Énergie","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Transports","Environnement","Mode et Luxe","","","les amphis entreprises","","","","non","oui","oui",""
"2026/03/17 11:14:05 AM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement;Donner de l'argent au BDE","Robotique et Automatisation","Santé et Biotechnologies","Transports","Environnement","Énergie","Mode et Luxe","Aéronautique","Économie et Finance","Numérique, Informatique et IA","","R&D ","les tables rondes;les visites de site","Des contacts et des conseils ","","","oui","Non","non",""
"2026/03/17 11:14:50 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Économie et Finance","Aéronautique","Énergie","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Numérique, Informatique et IA","Environnement","Mode et Luxe","Conseil","","les tables rondes;les visites de site","","","E-Cube, Cartier, Alpine","oui","oui","oui",""
"2026/03/17 11:17:57 AM UTC+2","1A IC","la renommée de l'entreprise","Énergie","Énergie","Énergie","Énergie","Énergie","Énergie","Énergie","Énergie","Énergie","","","tant qu’il y a a manger","un stage","Le salaire","Total / thales","non","Non","non",""
"2026/03/17 11:26:04 AM UTC+2","2A IC","la recherche d'un stage;la présence d'un repas lors de l'évènement","Aéronautique","Robotique et Automatisation","Énergie","Environnement","Transports","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Mode et Luxe","jeu vidéo/divertissement ","","les amphis entreprises;les visites de site","","Hihi le salaire, la possibilité de télétravailler, si ils ont un site proche de chez moi/paris","","qu'est ce que vous entendez par ""forum"" ?","oui","non",""
"2026/03/17 11:33:14 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Énergie","Économie et Finance","Santé et Biotechnologies","Mode et Luxe","Transports","Environnement","","","les amphis entreprises;les forums;les études de cas","Un stage pitié ","","","oui","oui","oui",""
"2026/03/17 11:43:06 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Environnement","Transports","Robotique et Automatisation","Santé et Biotechnologies","Numérique, Informatique et IA","Énergie","Aéronautique","Économie et Finance","Mode et Luxe","","R&D","les amphis entreprises;les tables rondes","","","","oui","oui","oui",""
"2026/03/17 11:47:21 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Santé et Biotechnologies","Numérique, Informatique et IA","Économie et Finance","Robotique et Automatisation","Transports","Énergie","Aéronautique","Mode et Luxe","Environnement","","R et D ou conseil","les amphis entreprises;les études de cas","savoir plus précisément quelles sont les tâches des personnes qui occupent les fonctions que j’aimerais faire","","intuitive surgery","non","Non","oui","merci pour votre travail 🫶"
"2026/03/17 11:51:57 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Économie et Finance","Énergie","Numérique, Informatique et IA","Mode et Luxe","Environnement","Santé et Biotechnologies","Santé et Biotechnologies","Robotique et Automatisation","Transports","","R&D !!! Et stratégie (surtout dans des grands groupes industriels)","les tables rondes;les études de cas","Comprendre le métier des personnes invitées, ce qu’iels font de leur quotidien et qui sera peut être aussi le mien si je viens travailler dans leur équipe","Les missions, la culture d’entreprise, s’ils proposent des stages","La banque de France !!! <3","oui","oui","oui","Merciii"
"2026/03/17 11:59:18 AM UTC+2","2A IC","la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Économie et Finance","Aéronautique","Mode et Luxe","Environnement","Santé et Biotechnologies","Transports","Énergie","Robotique et Automatisation","Numérique, Informatique et IA","","Service financier et analyse économique","les visites de site;les études de cas","une bonne compréhension des enjeux financiers de l'entreprise et ... un stage (ie un employeur potentiel pas une boite à saturation qui te dit ""postulez sur linkedin ou notre site"" sans piston.","Aspect financier.","JP Morgan, Palantir, World Bank, CIB et SoGé","oui","Non","oui","Branchez vous finance la team, plutôt que conseil. C'est bien plus stylé et skilled et ça correspond à nos profils malgré tout"
"2026/03/17 12:05:59 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Transports","Environnement","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","Aéronautique","Numérique, Informatique et IA","Économie et Finance","L'action publique/sociale mais bon comme iels peuvent pas payer c'est chaud d'en faire un amphi","","les amphis entreprises","Des pizzas et un panorama un peu précis de l'entreprise présentée ","Le mode de fonctionnement, l'ambiance au sein des équipes, les possibilités d'évolution ","","oui","oui","non",""
"2026/03/17 12:10:35 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Environnement","Énergie","Transports","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","Aéronautique","Mode et Luxe","","","les amphis entreprises","","","","oui","oui","non",""
"2026/03/17 12:11:37 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Aéronautique","Énergie","Environnement","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Mode et Luxe","Transports","","","les amphis entreprises;les visites de site","Connaître un peu mieux les tâches au sein de l’entreprise ainsi que le projet ","","","oui","oui","oui",""
"2026/03/17 12:13:00 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Santé et Biotechnologies","Environnement","Robotique et Automatisation","Énergie","Transports","Numérique, Informatique et IA","Mode et Luxe","Aéronautique","Économie et Finance","","","les tables rondes","","Les possibilités de jobs et d'évolution","","non","oui","oui",""
"2026/03/17 12:16:06 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Environnement","Transports","Aéronautique","Énergie","Économie et Finance","Mode et Luxe","","R&D et Tech surtout (ML, data science)","les tables rondes","Un stage ","","","Bof","Bof","oui",""
"2026/03/17 12:31:17 PM UTC+2","2A IC","la politique éthique de l'entreprise","Environnement","Énergie","Transports","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","Numérique, Informatique et IA","Économie et Finance","Aéronautique","La low tech","","/","","","","oui","oui","non","Il suffit de voir les domaines pour comprendre que si vous voulez vraiment qu'environnementalement votre mandat se tienne, il faut réduire drastiquement les budgets. Mode, aéronautique, IA, finance... tout ça c'est juste aberrant socio-écologiquement parlant. En fait vous avez pas vraiment le choix puisque vous avez une certaine envie de faire les choses bien. Ou bien vous faites les choses à la marge en changeant pas foncièrement le système (donc vous allez chercher la ""mode responsable"", ""la finance verte"", les ""carburants innovants"" blablabla, c'est ce que les BDE font depuis qu'ils veulent avoir la conscience tranquille), ou alors vous coupez fortement dans les dépenses par soucis éthique et vous gardez les quelques domaines qui sont un peu mieux que les autres. Et l'argument du ""les gens sont assez grands pour décider"" ne se tient pas, vous avez une responsabilité non nulle dans les carrières futures d'un certain nombre de mineurs et mineuses. Hésitez pas à regarder aussi les autres assos autour de vous : il y en a peut-être qui ont des partenariats encore pire que les vôtres, ce serait un peu bête de jouer cavalier seul alors que vous listez pour tout le monde... Bon courage !"
"2026/03/17 12:41:09 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Santé et Biotechnologies","Transports","Environnement","Robotique et Automatisation","Énergie","Aéronautique","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","","","les amphis entreprises;les visites de site","Un témoignage","Les missions des gens qui y travaillent","Alstom","oui","oui","non",""
"2026/03/17 12:42:50 PM UTC+2","1A IC","la recherche d'un stage;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Énergie","Robotique et Automatisation","Aéronautique","Transports","Santé et Biotechnologies","Environnement","Économie et Finance","Mode et Luxe","","R&D, Recherche fonda","amphi pizza","une pizza et un stage et de la sauce piquante","ce qu'un qq qui y travaille y fait au jour le jour","","oui","Non","non",""
"2026/03/17 12:56:36 PM UTC+2","ISUP","la renommée de l'entreprise;le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Énergie","Transports","Économie et Finance","Aéronautique","Environnement","Mode et Luxe","Santé et Biotechnologies","Robotique et Automatisation","Numérique, Informatique et IA","","Charge d’affaires et de projets. ","les amphis entreprises;les visites de site","De la connaissance sur certains domaines et projets ","Ce qu'elle fait concrètement, les domaines où elle travaille qui ne sont pas connus, les projets actuels et futurs ","Air France, ADP","oui","oui","oui","Option 1"
"2026/03/17 1:00:07 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","Économie et Finance","Transports","Énergie","Environnement","Numérique, Informatique et IA","","","les amphis entreprises;les tables rondes","","","","oui","oui","oui",""
"2026/03/17 1:47:35 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Environnement","Transports","Santé et Biotechnologies","Aéronautique","Économie et Finance","Robotique et Automatisation","Numérique, Informatique et IA","Mode et Luxe","","Technique (gestion de projet mais proche des trucs concrets)","les amphis entreprises;les tables rondes","Des infos sur les missions et si possible Un mail de RH/contact pour candidater","Son implémentation dans le monde/ ses engagements (réels) niveau écologie","Technique solaire/ EDF/ iea ","oui","oui","non",""
"2026/03/17 1:57:29 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage","Robotique et Automatisation","Numérique, Informatique et IA","Santé et Biotechnologies","Aéronautique","Transports","Économie et Finance","Énergie","Environnement","Mode et Luxe","","recherche fondamentale","les tables rondes;les visites de site","","","Alice and Bob","oui","Non","oui",""
"2026/03/17 1:59:09 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Aéronautique","Énergie","Environnement","Numérique, Informatique et IA","Économie et Finance","Robotique et Automatisation","Santé et Biotechnologies","Transports","Mode et Luxe","Organisme de recherche ","recherche fondamentale","les amphis entreprises","Des infos sur les activités de l'entreprise et si de circonstance des offres de stages","Taille, TOUT les secteurs d'activités, respects des lois environementales","","nsp","nsp","non",""
"2026/03/17 2:17:44 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Économie et Finance","Numérique, Informatique et IA","Aéronautique","Robotique et Automatisation","Transports","Environnement","Mode et Luxe","Santé et Biotechnologies","","","les amphis entreprises;les tables rondes","Un contact et une façon de fonctionner de l’entreprise ","Son fonctionnement interne ","","oui","oui","oui",""
"2026/03/17 2:20:02 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Environnement","Numérique, Informatique et IA","Santé et Biotechnologies","Énergie","Robotique et Automatisation","Mode et Luxe","Transports","Aéronautique","Économie et Finance","","","les visites de site","","","","oui","oui","Pas d’avis","Bonne chance !"
"2026/03/17 4:56:40 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Mode et Luxe","Santé et Biotechnologies","Aéronautique","Transports","Énergie","Numérique, Informatique et IA","Économie et Finance","Robotique et Automatisation","la fonction publique !!!!","Recherche et developpement, le publique","les études de cas","des informations sur une entreprise, des idées de futurs métiers, de stages, comprendre comment ca marche ","ses activités, ses valeurs, les jobs qu'ils offrent, si elles sont éthiques","","oui","oui","oui","je crois qu'il y a deja eu un forum start-up"
"2026/03/17 5:08:02 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Énergie","Transports","Environnement","Aéronautique","Santé et Biotechnologies","Mode et Luxe","Logistique","Conseil, services ","les amphis entreprises;les tables rondes;les études de cas","Meilleure connaissance de l’entreprise et des différents stages et emplois","Stages et différents métiers possibles","","oui","oui","oui","Merci d’avance pour le travail que vous allez faire !"
"2026/03/17 9:54:22 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Mode et Luxe","Transports","Robotique et Automatisation","Énergie","Environnement","Défense / armement ","","les amphis entreprises","Informations sur l'entreprise+Rex","","Naval group ","oui","Non","oui",""
"2026/03/17 10:13:45 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Environnement","Économie et Finance","Transports","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Mode et Luxe","","R&D","les tables rondes;les études de cas","Que fait l'entreprise (service et production, acteurs, marché etc) et quels postes ils proposent et qu'es ce qu'on y fait concrètement en temps qu'employé","","Producteur Energetique en générale ","oui","oui","non",""
"2026/03/18 2:03:28 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Environnement","Énergie","Transports","Santé et Biotechnologies","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Économie et Finance","Mode et Luxe","","","les amphis entreprises;les forums","De la culture et des informations sur l'entreprises afin de savoir si elle peut correspondre à mes projets et mes envies","Secteur d'activité, valeurs / engagements, possibilités d'emplois","","oui","oui","oui",""
"2026/03/18 2:03:43 PM UTC+2","1A IC","le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Robotique et Automatisation","Énergie","Santé et Biotechnologies","Numérique, Informatique et IA","Aéronautique","Environnement","Transports","Économie et Finance","Mode et Luxe","","","les visites de site;les forums","","Ses services et des choses concrètes comme comment se passe la fabrication du produit, à quoi ressemble la vie quotidienne dans l’entreprise","","oui","oui","oui",""
"2026/03/18 2:04:29 PM UTC+2","ISUP","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Énergie","Environnement","Transports","Aéronautique","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Mode et Luxe","","R&D","les amphis entreprises;les visites de site","Des renseignements, des contacts ","Ce qu'ils font, comment, les postes accessibles, l'ouverture sur l'international...","Thalès, Safran, Schneider Electric","oui","oui","oui",""
"2026/03/18 2:04:54 PM UTC+2","1A IC","Je n'y ai jamais pris part","Environnement","Aéronautique","Numérique, Informatique et IA","Robotique et Automatisation","Transports","Énergie","Santé et Biotechnologies","Économie et Finance","Mode et Luxe","","R&D et recherche fondamentale ","Je ne sais pas ","","","","Je ne pense pas que j'irai non","oui","non",""
"2026/03/18 2:04:55 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Robotique et Automatisation","Aéronautique","Numérique, Informatique et IA","Économie et Finance","Énergie","Transports","Mode et Luxe","Santé et Biotechnologies","Environnement","Sécurité ","R&D","les amphis entreprises;les études de cas","Un contact dans l'entreprise et une meilleure connaissance de ce qu'il s'y fait ","Activités, emplois possibles, salaire","DGA","oui","Non","oui",""
"2026/03/18 2:06:11 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Aéronautique","Énergie","Transports","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Environnement","Mode et Luxe","Économie et Finance","Recherche/physique ","R&D","les amphis entreprises","Infos + contacts","","Alice et bob, ibm... ","Jsp","Jsp ","Jsp ","Option 1"
"2026/03/18 2:10:21 PM UTC+2","1A IC","la renommée de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Environnement","Transports","Aéronautique","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","","","les amphis entreprises","","","","oui","oui","oui",""
"2026/03/18 2:11:00 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Énergie","Transports","Environnement","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Économie et Finance","Aéronautique","Mode et Luxe","","","les amphis entreprises;les forums","","","","oui","oui","non",""
"2026/03/18 2:12:43 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Transports","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Aéronautique","Environnement","Mode et Luxe","","","les amphis entreprises;les visites de site","","","","oui","oui","oui",""
"2026/03/18 2:16:27 PM UTC+2","2A IC","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Transports","Environnement","Énergie","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Mode et Luxe","","","les amphis entreprises;les visites de site","Un aperçu des postes existant dans une entreprise et des missions correspondantes","Mission globale (à quoi elle sert, avec qui et pourquoi)
Géographie ","","oui","oui","non","Très intéressé par le public"
